Number,Target variable,Gluteus medius,Gluteus minimus,Adductor longus,Adductor brevis,Adductor magnus,Tensor fasciae latae,Gracilis,Gluteus maximus,Psoas major,Quadriceps,Piriformis,Ipsilateral erector spinae,Contralateral erector spinae,Ipsilateral internal oblique,Contralateral internal oblique,Ipsilateral external oblique,Contralateral external oblique
1,11.10950859,1.05529896,6.4683455,18.74761374,6.42087705,1.3889711,9.27498273,4.25871589,1.12734042,41.56409406,0.55585922,0.727791,58.56398513,61.38911738,19.15301681,24.43800063,6.78256237,26.43644901
2,11.21806722,1.17356353,10.70119784,19.1943919,4.71403278,0.08774114,9.19433697,4.12206724,4.949850334,41.83980723,11.60243255,1.10478157,52.28922219,-28.95347816,7.17234698,30.21045109,2.58452748,27.16201141
3,11.28206956,1.1452559,-3.82354577,19.4550311,6.46320014,0.82520452,8.92808683,4.68534463,4.949850334,40.00947918,1.04500714,1.25485164,53.55945051,-24.0673368,8.79006261,28.35540554,3.39600679,27.21029229
4,11.29744747,1.33723868,6.04613472,6.99655215,15.05708868,4.4556592,8.53346282,5.54055976,4.949850334,40.22663947,7.35507198,1.26548586,60.62687379,57.47631596,33.95866318,17.91513598,10.8562227,27.0172155
5,11.27754737,1.19811695,2.85498338,20.56425697,10.26756745,9.8863207,8.27285984,5.70689418,3.98574689,40.54022791,16.93529483,1.08150742,68.26188827,29.91969738,38.20758604,12.0030445,23.08034092,26.41295435
6,11.198437,1.06654315,1.94250632,21.51996123,8.58455322,21.40752356,8.00316613,5.76390437,13.55749916,39.5943173,32.12092957,0.85296506,82.1854141,21.56157711,40.08621216,9.22426941,39.69987333,25.12068914
7,15.05683233,1.7617164,4.86687378,18.91652138,14.19453685,3.28385077,9.86629107,5.81944101,0.2944279,41.48947382,4.57199134,1.58845918,95.77266808,105.766887,38.37658489,5.08183174,31.52753856,27.06117308
8,15.27445512,12.07621027,3.18301538,18.75910929,18.72133802,5.53030608,9.57961088,6.47588883,0.91194559,42.19383179,8.37480098,1.31993193,80.41031437,73.22727215,40.26620112,6.17088051,34.55814348,27.04252116
9,15.39656497,1.54500298,1.92695201,11.17210263,1.61855578,11.56500894,9.27976883,6.70626668,3.64533731,41.57597566,18.41059692,1.63108925,76.43998301,42.42933503,9.44888947,7.50494194,35.74664163,26.36546688
10,15.43884224,1.23726737,1.37937105,18.70584937,12.77234909,23.5034265,9.0355692,6.75484241,7.40632092,39.78365332,28.74076268,1.15295811,77.06727746,27.58547068,36.12826511,8.05103513,35.50558177,25.13398944
11,15.36557559,0.44776149,1.43304018,9.19001108,16.30417316,37.23851042,8.8896237,6.73177237,9.1709102,41.42415283,27.57229188,0.45770116,89.90770768,36.30184389,13.34050781,7.31877262,33.58406407,21.21018268
12,15.17541424,-1.31380725,2.37010491,19.88741848,14.5956403,35.00708454,8.91481108,6.6778934,5.2005165,41.87698089,21.60200463,-1.05796184,123.0586558,59.65999592,36.96809741,5.26962119,34.77369164,10.06896478
13,10.36941366,0.61601527,2.37280345,19.13688135,0.6026824,6.65670482,8.99448129,5.20287825,3.45136185,40.13834138,6.80458181,1.14431072,59.80344107,103.5152612,11.46723996,35.89559967,26.43580076,36.55373131
14,10.50493285,0.48941104,1.9520838,19.22129828,10.43887653,8.62796411,8.82131072,5.44915988,3.57921702,41.45943363,9.85494737,1.26200202,50.13869945,106.4579615,11.57976113,34.15544664,25.59013746,36.87452711
15,10.56143846,0.67067381,1.69768841,15.92685487,9.11619549,11.57110176,8.65691995,5.57137866,4.05131528,42.28022423,14.84231451,1.09744482,42.62538056,107.0032529,11.50796632,30.17575747,24.73906591,36.98979725
16,10.54376076,0.83144564,1.44262033,20.21585851,10.13080819,16.79088649,8.46206812,5.64190111,4.83521542,41.90442044,20.39201396,1.34432748,35.87970976,105.927199,11.23890713,36.3354257,23.97722275,37.01365924
17,10.4726014,1.11605924,1.2975074,20.70796962,10.39171246,21.16010401,8.29472201,5.66792523,5.37344062,41.82133064,20.45929583,1.79032128,39.87010947,104.953713,10.66146268,36.54303562,23.12842861,36.79581805
18,10.30483398,0.3493315,1.33724222,20.11892706,10.13080819,20.2052164,8.31438435,5.65672769,3.58998315,42.05809385,19.7252858,1.85825883,51.71812778,107.0820083,8.93990437,36.16437379,18.88827308,35.96650409
19,21.32636543,-1.20601661,2.88754613,22.83472842,13.98814195,24.67065892,9.65310727,7.17908408,0.83086891,43.40638821,6.46620169,-1.3129437,35.43978452,79.14062868,18.75506686,32.51300301,11.71810934,36.38183515
20,21.57400131,-1.57404295,3.01975273,21.9128155,16.67517842,31.24013817,9.41386049,7.14087505,2.155783814,43.46205851,7.18113556,-1.68412008,34.66979868,77.43178516,23.97367779,31.876898,9.3446628,36.19715447
21,21.71846063,-1.74144813,2.41560891,17.03402275,25.32898097,32.89382954,9.12109136,7.08551356,0.20429387,43.20481803,11.10398679,-1.96085461,29.20075262,75.09699848,26.16982753,32.57527841,10.47394967,36.44734669
22,21.70944741,-1.83970712,1.86967797,22.6915872,15.31309402,32.61661706,8.84373913,7.01995111,1.81766058,42.85885114,19.6850806,-2.24096223,24.51445388,73.27611768,22.0232979,31.27917465,14.60333034,36.46041211
23,21.49499642,-2.59779464,1.51390332,18.38504302,12.01185924,28.68073654,8.56629711,6.92257687,3.42539859,42.60434568,20.23002005,-2.91126263,22.75994729,73.54455364,15.34834461,33.78462022,19.80411607,36.15826324
24,21.07594128,-3.78523774,1.34698374,20.44549696,15.02219595,30.32305615,8.24699182,6.86805231,4.50069712,42.3874808,20.08319229,-3.88975515,36.86352008,74.92222843,10.31692401,34.07999493,25.6513488,35.7449571
25,25.83456722,-0.29061556,0.61496931,26.71942884,25.86688614,22.28819305,6.90782164,5.74657111,6.25602397,49.45778075,11.90240385,0.17218991,103.7321058,12.88228585,38.20140265,20.84653535,72.34144865,9.66490493
26,26.37123654,0.12327286,0.71210138,31.02148678,21.11307808,24.30494635,6.82164972,7.13138153,6.38715555,48.98254007,43.80058647,0.77810463,103.5321587,13.56302956,41.71275601,22.73077574,69.9236071,9.2707459
27,26.66637725,0.36309491,0.76563408,6.86556108,14.29586374,12.39864336,6.68108596,5.604478682,5.02734811,48.22417141,1.80270976,0.97712587,102.0988108,14.15760755,40.81368991,21.02144897,67.39426932,8.27807576
28,26.65304302,1.45484731,0.50080035,5.4773313,17.71711811,22.07479194,6.18884897,6.71720101,6.91668764,47.21788221,53.21004581,1.37808142,100.2210411,11.54339615,40.36156349,19.02017183,65.90752123,9.39905906
29,26.34741978,-0.00495586,0.23748394,33.45467395,24.26723726,24.76203314,5.09593475,3.78923063,10.63432046,46.50813987,39.89596119,0.94446014,100.449118,11.01423088,42.50842009,12.40694004,63.88920007,7.81778525
30,25.59487538,-4.06506445,0.22893058,36.66439124,24.02248837,25.57727659,5.37193913,4.63800913,5.18869145,47.00485582,6.0258393,-1.66938759,-11.49095755,19.63237892,40.3854011,19.20517439,59.5352232,0.46009652
31,15.68972241,-1.74302558,2.65201891,15.28379853,19.23789461,21.34438633,7.90416834,6.7395805,0.80509639,37.17869442,19.21261049,-2.30587684,147.9822515,40.73754011,52.0346461,7.82923912,58.63065387,6.42866255
32,15.97899837,-0.88161929,1.77092014,12.27564171,14.9725407,22.52566376,7.70002376,6.72956326,2.79156039,38.61684728,46.6017666,-0.87295263,145.7289534,29.56239945,46.07728864,5.68791867,74.99009101,7.56333344
